used_id,krisna_id,name
6306,1504,Hulu Sungai Selatan
6307,1505,Hulu Sungai Tengah
6308,1509,Hulu Sungai Utara
6309,1507,Tabalong
6310,1510,Tanah Bumbu
6311,1511,Balangan
6371,1551,Banjarmasin
6372,1552,Banjar Baru
6401,1602,Paser
6402,1607,Kutai Barat
6402,1613,Kutai Barat
6403,1610,Kutai Kartanegara
6403,1601,Kutai Kartanegara
6403,1611,Kutai Kartanegara
6404,1608,Kutai Timur
6405,1604,Berau
6409,1609,Penajam Paser Utara
6471,1652,Balikpapan
6472,1651,Samarinda
6474,1654,Bontang
6501,3503,Malinau
6502,3501,Bulungan
6503,3502,Nunukan
6504,3504,Tana Tidung
6571,3551,Tarakan
7101,1703,Bolaang Mongondow
7102,1702,Minahasa
7103,1704,Kepulauan Sangihe
7103,1709,Kepulauan Sangihe
7104,1705,Kepulauan Talaud
7105,1706,Minahasa Selatan
7106,1708,Minahasa Utara
7107,1711,Bolaang Mongondow Utara
7108,1712,Siau Tagulandang Biaro
7109,1710,Minahasa Tenggara
7110,1713,Bolaang Mongondow Selatan
7111,1714,Bolaang Mongondow Timur
7171,1751,Manado
7172,1753,Bitung
7173,1752,Tomohon
7174,1754,Kotamobagu
7201,1807,Banggai Kepulauan
7201,1813,Banggai Kepulauan
7202,1804,Banggai
7203,1814,Morowali
7203,1806,Morowali
7204,1801,Poso
7205,1802,Donggala
7206,1803,Toli-Toli
7207,1805,Buol
7208,1808,Parigi Moutong
7209,1809,Tojo Una-Una
7210,1812,Sigi
7271,1851,Palu
7301,1914,Kepulauan Selayar
7302,1911,Bulukumba
7303,1912,Bantaeng
7304,1913,Jeneponto
7305,1915,Takalar
7306,1902,Gowa
7307,1910,Sinjai
7308,1907,Maros
7309,1918,Pangkajene Dan Kepulauan
7310,1916,Barru
7311,1905,Bone
7312,1919,Soppeng
7313,1903,Wajo
7314,1917,Sidenreng Rappang
7315,1901,Pinrang
7316,1921,Enrekang
7317,1909,Luwu
7318,1906,Tana Toraja
7322,1922,Luwu Utara
7325,1924,Luwu Timur
7326,1925,Toraja Utara
7371,1951,Makassar
7372,1952,Parepare
7373,1953,Palopo
7401,2002,Buton
7401,2055,Buton
7401,2054,Buton
7402,2003,Muna
7402,2053,Muna
7403,2009,Konawe
7403,2013,Konawe
7404,2012,Kolaka
7404,2004,Kolaka
7405,2005,Konawe Selatan
7406,2006,Bombana
7407,2007,Wakatobi
7408,2008,Kolaka Utara
7409,2011,Buton Utara
7410,2010,Konawe Utara
7471,2051,Kendari
7472,2052,Bau-Bau
7501,3102,Boalemo
7502,3101,Gorontalo
7502,3105,Gorontalo
7503,3103,Pohuwato
7504,3104,Bone Bolango
7505,3107,Gorontalo Utara
7571,3151,Kota Gorontalo
7601,3401,Majene
7602,3404,Polewali Mandar
7603,3405,Mamasa
7604,3406,Mamuju
7604,3402,Mamuju
7605,3403,Mamuju Utara
8101,2103,Maluku Tenggara Barat
8102,2102,Maluku Tenggara
8103,2101,Maluku Tengah
8104,2104,Buru
8105,2105,Kepulauan Aru
8106,2106,Seram Bagian Barat
8107,2107,Seram Bagian Timur
8108,2109,Maluku Barat Daya
8109,2110,Buru Selatan
8171,2151,Ambon
8172,2152,Tual
8201,2807,Halmahera Barat
8202,2802,Halmahera Tengah
8203,2809,Kepulauan Sula
8203,2805,Kepulauan Sula
8204,2804,Halmahera Selatan
8205,2803,Halmahera Utara
8206,2806,Halmahera Timur
8207,2808,Pulau Morotai
8271,2851,Ternate
8272,2853,Tidore Kepulauan
8272,2852,Tidore Kepulauan
9101,3303,Fakfak
9102,3308,Kaimana
9103,3307,Teluk Wondama
9104,3306,Teluk Bintuni
9105,3301,Manokwari
9105,3312,Manokwari
9105,3311,Manokwari
9106,3304,Sorong Selatan
9107,3302,Sorong
9108,3305,Raja Ampat
9109,3309,Tambrauw
9110,3310,Maybrat
9171,3351,Kota Sorong
9401,2507,Merauke
