kd_prov;provinsi;kd_kota;Kota
23;Provinsi Nusa Tenggara Barat;2352;Kota Bima
19;Provinsi Sulawesi Selatan;1903;Kab. Wajo
06;Provinsi Aceh;0601;Kab. Aceh Besar
06;Provinsi Aceh;0617;Kab. Bener Meriah
07;Provinsi Sumatera Utara;0702;Kab. Karo
07;Provinsi Sumatera Utara;0723;Kab. Padang Lawas Utara
07;Provinsi Sumatera Utara;0712;Kab. Samosir
10;Provinsi Jambi;1005;Kab. Kerinci
10;Provinsi Jambi;1006;Kab. Merangin
26;Provinsi Bengkulu;2607;Kab. Lebong
02;Provinsi Jawa Barat;0216;Kab. Ciamis
02;Provinsi Jawa Barat;0207;Kab. Cianjur
02;Provinsi Jawa Barat;0211;Kab. Subang
29;Provinsi Banten;2902;Kab. Pandeglang
03;Provinsi Jawa Tengah;0304;Kab. Grobogan
03;Provinsi Jawa Tengah;0324;Kab. Klaten
03;Provinsi Jawa Tengah;0313;Kab. Rembang
03;Provinsi Jawa Tengah;0326;Kab. Sragen
05;Provinsi Jawa Timur;0501;Kab. Gresik
05;Provinsi Jawa Timur;0512;Kab. Jember
05;Provinsi Jawa Timur;0513;Kab. Malang
05;Provinsi Jawa Timur;0510;Kab. Situbondo
05;Provinsi Jawa Timur;0528;Kab. Tuban
22;Provinsi Bali;2201;Kab. Buleleng
22;Provinsi Bali;2208;Kab. Tabanan
23;Provinsi Nusa Tenggara Barat;2301;Kab. Lombok Barat
23;Provinsi Nusa Tenggara Barat;2305;Kab. Sumbawa
23;Provinsi Nusa Tenggara Barat;2307;Kab. Sumbawa Barat
24;Provinsi Nusa Tenggara Timur;2420;Kab. Manggarai Timur
14;Provinsi Kalimantan Tengah;1407;Kab. Seruyan
19;Provinsi Sulawesi Selatan;1921;Kab. Enrekang
19;Provinsi Sulawesi Selatan;1913;Kab. Jeneponto
20;Provinsi Sulawesi Tenggara;2006;Kab. Bombana
20;Provinsi Sulawesi Tenggara;2009;Kab. Konawe
34;Provinsi Sulawesi Barat;3404;Kab. Polewali Mandar
11;Provinsi Sumatera Selatan;1106;Kab. Lahat
17;Provinsi Sulawesi Utara;1710;Kab. Minahasa Tenggara
23;Provinsi Nusa Tenggara Barat;2300;Provinsi Nusa Tenggara Barat
04;Provinsi DI Yogyakarta;0400;Provinsi Di Yogyakarta
14;Provinsi Kalimantan Tengah;1402;Kab. Barito Utara
03;Provinsi Jawa Tengah;0320;Kab. Temanggung
07;Provinsi Sumatera Utara;0702;Kab. Karo
07;Provinsi Sumatera Utara;0713;Kab. Mandailing Natal
07;Provinsi Sumatera Utara;0712;Kab. Samosir
12;Provinsi Lampung;1252;Kota Metro
20;Provinsi Sulawesi Tenggara;2010;Kab. Konawe Utara
12;Provinsi Lampung;1203;Kab. Lampung Utara
05;Provinsi Jawa Timur;0529;Kab. Lamongan
05;Provinsi Jawa Timur;0526;Kab. Pacitan
05;Provinsi Jawa Timur;0507;Kab. Sumenep
18;Provinsi Sulawesi Tengah;1801;Kab. Poso
06;Provinsi Aceh;0600;Provinsi Nanggroe Aceh Darussalam
15;Provinsi Kalimantan Selatan;1508;Kab. Kotabaru
15;Provinsi Kalimantan Selatan;1503;Kab. Tapin
13;Provinsi Kalimantan Barat;1302;Kab. Sanggau
04;Provinsi DI Yogyakarta;0402;Kab. Sleman
05;Provinsi Jawa Timur;0506;Kab. Pamekasan
05;Provinsi Jawa Timur;0507;Kab. Sumenep
05;Provinsi Jawa Timur;0510;Kab. Situbondo
05;Provinsi Jawa Timur;0514;Kab. Pasuruan
05;Provinsi Jawa Timur;0515;Kab. Probolinggo
05;Provinsi Jawa Timur;0516;Kab. Lumajang
05;Provinsi Jawa Timur;0520;Kab. Trenggalek
05;Provinsi Jawa Timur;0522;Kab. Madiun
05;Provinsi Jawa Timur;0524;Kab. Magetan
05;Provinsi Jawa Timur;0525;Kab. Ponorogo
05;Provinsi Jawa Timur;0526;Kab. Pacitan
05;Provinsi Jawa Timur;0528;Kab. Tuban
02;Provinsi Jawa Barat;0260;Kota Tasikmalaya
03;Provinsi Jawa Tengah;0311;Kab. Pemalang
03;Provinsi Jawa Tengah;0314;Kab. Blora
05;Provinsi Jawa Timur;0501;Kab. Gresik
05;Provinsi Jawa Timur;0508;Kab. Bangkalan
05;Provinsi Jawa Timur;0500;Provinsi Jawa Timur
22;Provinsi Bali;2200;Provinsi Bali
06;Provinsi Aceh;0606;Kab. Aceh Barat
06;Provinsi Aceh;0605;Kab. Aceh Selatan
06;Provinsi Aceh;0611;Kab. Bireun
07;Provinsi Sumatera Utara;0717;Kab. Toba Samosir
23;Provinsi Nusa Tenggara Barat;2306;Kab. Dompu
11;Provinsi Sumatera Selatan;1119;Kab. Musi Rawas Utara
12;Provinsi Lampung;1204;Kab. Lampung Barat
12;Provinsi Lampung;1201;Kab. Lampung Selatan
12;Provinsi Lampung;1202;Kab. Lampung Tengah
12;Provinsi Lampung;1207;Kab. Lampung Timur
